,time,total
49439,2010-01-01,6595.46828801193
49440,2010-02-01,15772.090906553682
49441,2010-03-01,13693.385914907378
49442,2010-04-01,9047.059017260413
49443,2010-05-01,11252.834924211464
49444,2010-06-01,5715.053018179362
49445,2010-07-01,2629.5956719260234
49446,2010-08-01,1809.2039011981603
49447,2010-09-01,1933.7809564073345
49448,2010-10-01,1460.7218592809345
49449,2010-11-01,1112.017163927343
49450,2010-12-01,1851.0801074301758
49451,2011-01-01,6258.501078965126
49452,2011-02-01,7278.21947055957
49453,2011-03-01,9627.210483173854
49454,2011-04-01,9712.5018828121
49455,2011-05-01,5591.1749006157515
49456,2011-06-01,5068.765535014303
49457,2011-07-01,2157.189825577213
49458,2011-08-01,1166.1935758978243
49459,2011-09-01,1558.1021545121862
49460,2011-10-01,1474.7905948557768
49461,2011-11-01,1567.5650203137593
49462,2011-12-01,2480.0685093216443
49463,2012-01-01,2304.592004280935
49464,2012-02-01,12501.99112279078
49465,2012-03-01,16548.784827602736
49466,2012-04-01,17830.84044047579
49467,2012-05-01,14735.49717887193
49468,2012-06-01,7973.9037197439975
49469,2012-07-01,4079.5320008697563
49470,2012-08-01,2692.1554446344812
49471,2012-09-01,1926.9139460182594
49472,2012-10-01,1714.944461382475
49473,2012-11-01,1537.674095139359
49474,2012-12-01,3043.2516936427355
49475,2013-01-01,6689.718452918755
49476,2013-02-01,8011.475575408482
49477,2013-03-01,12332.747363887203
49478,2013-04-01,10426.40536424565
49479,2013-05-01,4727.614633687886
49480,2013-06-01,2386.8727897960434
49481,2013-07-01,710.3737706311414
49482,2013-08-01,520.2697849634809
49483,2013-09-01,484.8890929293062
49484,2013-10-01,768.675775507548
49485,2013-11-01,1003.2201955867606
49486,2013-12-01,3165.5192615918268
49487,2014-01-01,3691.3478831793755
49488,2014-02-01,6826.836562054774
49489,2014-03-01,12808.480178122714
49490,2014-04-01,8405.928005781223
49491,2014-05-01,5318.487925482243
49492,2014-06-01,2842.0701857929844
49493,2014-07-01,2151.149122282407
49494,2014-08-01,1178.4532481277697
49495,2014-09-01,1427.8670426561462
49496,2014-10-01,2142.064866536563
49497,2014-11-01,1957.7879868113828
49498,2014-12-01,1763.1045599904505
49499,2015-01-01,5657.855949364586
49500,1850-02-01,4401.228212934278
49501,1850-03-01,7380.372064306943
49502,1850-04-01,6512.54493245811
49503,1850-05-01,8667.778257766651
49504,1850-06-01,4775.637322242172
49505,1850-07-01,3297.8020623316474
49506,1850-08-01,2506.557762486139
